Article Title,URL,Revision ID
"Abbeville, Alabama","https://en.wikipedia.org/wiki/Abbeville,_Alabama",1171163550
"Adamsville, Alabama","https://en.wikipedia.org/wiki/Adamsville,_Alabama",1177621427
"Addison, Alabama","https://en.wikipedia.org/wiki/Addison,_Alabama",1168359898
"Akron, Alabama","https://en.wikipedia.org/wiki/Akron,_Alabama",1165909508
"Alabaster, Alabama","https://en.wikipedia.org/wiki/Alabaster,_Alabama",1179139816
"Albertville, Alabama","https://en.wikipedia.org/wiki/Albertville,_Alabama",1179198677
"Alexander City, Alabama","https://en.wikipedia.org/wiki/Alexander_City,_Alabama",1179140073
"Aliceville, Alabama","https://en.wikipedia.org/wiki/Aliceville,_Alabama",1167792390
"Allgood, Alabama","https://en.wikipedia.org/wiki/Allgood,_Alabama",1165909718
"Altoona, Alabama","https://en.wikipedia.org/wiki/Altoona,_Alabama",1165909823
"Andalusia, Alabama","https://en.wikipedia.org/wiki/Andalusia,_Alabama",1179141586
"Anderson, Lauderdale County, Alabama","https://en.wikipedia.org/wiki/Anderson,_Lauderdale_County,_Alabama",662691565
"Anniston, Alabama","https://en.wikipedia.org/wiki/Anniston,_Alabama",1176049382
"Arab, Alabama","https://en.wikipedia.org/wiki/Arab,_Alabama",1171375371
"Ardmore, Alabama","https://en.wikipedia.org/wiki/Ardmore,_Alabama",1176903479
"Argo, Alabama","https://en.wikipedia.org/wiki/Argo,_Alabama",1177623964
"Ariton, Alabama","https://en.wikipedia.org/wiki/Ariton,_Alabama",1166014478
"Arley, Alabama","https://en.wikipedia.org/wiki/Arley,_Alabama",1166014498
"Ashford, Alabama","https://en.wikipedia.org/wiki/Ashford,_Alabama",1166014593
"Ashland, Alabama","https://en.wikipedia.org/wiki/Ashland,_Alabama",1174331705
"Ashville, Alabama","https://en.wikipedia.org/wiki/Ashville,_Alabama",1148844011
"Athens, Alabama","https://en.wikipedia.org/wiki/Athens,_Alabama",1175308807
"Atmore, Alabama","https://en.wikipedia.org/wiki/Atmore,_Alabama",1167926420
"Attalla, Alabama","https://en.wikipedia.org/wiki/Attalla,_Alabama",1165507856
"Auburn, Alabama","https://en.wikipedia.org/wiki/Auburn,_Alabama",1179878794
"Autaugaville, Alabama","https://en.wikipedia.org/wiki/Autaugaville,_Alabama",1166014815
"Avon, Alabama","https://en.wikipedia.org/wiki/Avon,_Alabama",1166014861
"Babbie, Alabama","https://en.wikipedia.org/wiki/Babbie,_Alabama",1168820544
"Baileyton, Alabama","https://en.wikipedia.org/wiki/Baileyton,_Alabama",1166014939
"Bakerhill, Alabama","https://en.wikipedia.org/wiki/Bakerhill,_Alabama",1166014954
"Banks, Alabama","https://en.wikipedia.org/wiki/Banks,_Alabama",1166014997
"Bay Minette, Alabama","https://en.wikipedia.org/wiki/Bay_Minette,_Alabama",1177963600
"Bayou La Batre, Alabama","https://en.wikipedia.org/wiki/Bayou_La_Batre,_Alabama",1177999052
"Bear Creek, Alabama","https://en.wikipedia.org/wiki/Bear_Creek,_Alabama",1166015184
"Beatrice, Alabama","https://en.wikipedia.org/wiki/Beatrice,_Alabama",1166015214
"Beaverton, Alabama","https://en.wikipedia.org/wiki/Beaverton,_Alabama",1166015251
"Belk, Alabama","https://en.wikipedia.org/wiki/Belk,_Alabama",1166015313
"Benton, Alabama","https://en.wikipedia.org/wiki/Benton,_Alabama",1166015434
"Berlin, Alabama","https://en.wikipedia.org/wiki/Berlin,_Alabama",1166015476
"Berry, Alabama","https://en.wikipedia.org/wiki/Berry,_Alabama",1166015515
"Bessemer, Alabama","https://en.wikipedia.org/wiki/Bessemer,_Alabama",1178999596
"Billingsley, Alabama","https://en.wikipedia.org/wiki/Billingsley,_Alabama",1166015695
"Birmingham, Alabama","https://en.wikipedia.org/wiki/Birmingham,_Alabama",1179944837
"Black, Alabama","https://en.wikipedia.org/wiki/Black,_Alabama",1166015772
"Blountsville, Alabama","https://en.wikipedia.org/wiki/Blountsville,_Alabama",1105978061
"Blue Springs, Alabama","https://en.wikipedia.org/wiki/Blue_Springs,_Alabama",1166015902
"Boaz, Alabama","https://en.wikipedia.org/wiki/Boaz,_Alabama",1177138566
"Boligee, Alabama","https://en.wikipedia.org/wiki/Boligee,_Alabama",1166015957
"Bon Air, Alabama","https://en.wikipedia.org/wiki/Bon_Air,_Alabama",1166015981
"Brantley, Alabama","https://en.wikipedia.org/wiki/Brantley,_Alabama",1165814013
"Brent, Alabama","https://en.wikipedia.org/wiki/Brent,_Alabama",1172245542
"Brewton, Alabama","https://en.wikipedia.org/wiki/Brewton,_Alabama",1162427481
"Bridgeport, Alabama","https://en.wikipedia.org/wiki/Bridgeport,_Alabama",1165537046
"Brighton, Alabama","https://en.wikipedia.org/wiki/Brighton,_Alabama",1177621572
"Brilliant, Alabama","https://en.wikipedia.org/wiki/Brilliant,_Alabama",1166016323
"Brookside, Alabama","https://en.wikipedia.org/wiki/Brookside,_Alabama",1170769013
